"inference","term","estimate","std_error","t_value","p_value","conf_low","conf_high"
"Newey-West HAC(5)","(Intercept)",-0.000969348509794518,0.00622285976977565,-0.155772192473729,0.876224486056482,-0.0131715174920892,0.0112328204725002
"Newey-West HAC(5)","JPY_app",-0.850936443698603,0.032573726501484,-26.1233986740767,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000051676466226427,-0.914809024772126,-0.78706386262508
"Newey-West HAC(5)","PostPost",0.00715250576215822,0.00656156806068075,1.090060439214,0.275785893001254,-0.00571382342207486,0.0200188349463913
"Newey-West HAC(5)","Nikkei_ret",-0.00344019141793644,0.0108699916912613,-0.31648519296497,0.751659255491374,-0.0247547445912424,0.0178743617553695
"Newey-West HAC(5)","SMB",0.0199406918361371,0.0186975598527918,1.0664863219122,0.286301267364614,-0.0167226419559019,0.0566040256281761
"Newey-West HAC(5)","HML",-0.0235069496822122,0.0175513107835597,-1.33932729994338,0.180579305794719,-0.0579226472818848,0.0109087479174605
"Newey-West HAC(5)","RMW",-0.0113793113280378,0.0322831502004216,-0.352484539377115,0.724503016100452,-0.0746821123873888,0.0519234897313131
"Newey-West HAC(5)","CMA",0.0380841360731734,0.0287698144812126,1.32375327265469,0.185699480845905,-0.018329498634472,0.0944977707808188
"Newey-West HAC(5)","MOM",0.00172685747281354,0.00846648684218438,0.203963876044719,0.838397431222654,-0.0148747544800191,0.0183284694256462
"Newey-West HAC(5)","dlog_VIX",-0.00680159412700215,0.00172318019191563,-3.94711717260452,0.0000811608019421714,-0.0101805126092767,-0.00342267564472761
"Newey-West HAC(5)","rate_diff",0.0027277305160944,0.0017514120412807,1.55744647849959,0.119484244762559,-0.000706546725557678,0.00616200775774648
"Newey-West HAC(5)","JPY_app:PostPost",-0.0612064199953553,0.0376773789543032,-1.62448720410167,0.104391107292676,-0.135086559002077,0.0126737190113667
