"inference","term","estimate","std_error","t_value","p_value","conf_low","conf_high"
"Classical OLS","(Intercept)",-0.00177361233300749,0.00995722662884975,-0.178123125958455,0.858639443308348,-0.0212980393995772,0.0177508147335622
"Classical OLS","JPY_app",-0.851968889752887,0.0177587329873563,-47.9746438194359,0,-0.886790743259939,-0.817147036245835
"Classical OLS","PostPost",0.00851853388156928,0.0147023751885593,0.579398483055853,0.562367941453568,-0.0203103220613763,0.0373473898245148
"Classical OLS","Nikkei_ret",-0.00424561543898592,0.00590017332949706,-0.719574697536524,0.471848242133443,-0.0158148513463133,0.0073236204683415
"Classical OLS","SMB",0.0207816985772502,0.0149394920649116,1.39105790792314,0.164320769821318,-0.00851210321167811,0.0500755003661786
"Classical OLS","HML",-0.0216062451581728,0.0167468153945928,-1.29017037861115,0.197100338289916,-0.0544439004568558,0.0112314101405101
"Classical OLS","RMW",-0.00839639689200585,0.0267457575158271,-0.313933785088614,0.75359521937195,-0.0608402762393868,0.0440474824553751
"Classical OLS","CMA",0.0378326523871645,0.0239037343272121,1.58270887173038,0.113603203479408,-0.0090385030948339,0.0847038078691628
"Classical OLS","MOM",0.00212731695718312,0.00860958145364082,0.24708715152274,0.804859281713212,-0.0147546072402899,0.0190092411546562
"Classical OLS","dlog_VIX",-0.00686813108263041,0.000815554280055736,-8.42142730482762,0.0000000000000000591326231872273,-0.00846729424857077,-0.00526896791669005
"Classical OLS","rate_diff",0.00275674054835398,0.00402060209007114,0.685653662460589,0.492989518285974,-0.00512697599213819,0.0106404570888461
"Classical OLS","JPY_app:PostPost",-0.0648085309347974,0.0226732460640808,-2.85837020211534,0.00429037880654147,-0.109266908316499,-0.0203501535530954
