"inference","term","estimate","std_error","t_value","p_value","conf_low","conf_high"
"Newey-West HAC(5)","(Intercept)",-0.00177361233300749,0.00603527251333242,-0.293874440481259,0.768876099857836,-0.0136077547509394,0.0100605300849244
"Newey-West HAC(5)","JPY_app",-0.851968889752887,0.0306621884485423,-27.7856517378945,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000640685277977039,-0.912092223727273,-0.791845555778501
"Newey-West HAC(5)","PostPost",0.00851853388156928,0.00629125705536568,1.35402731228475,0.175839286087825,-0.00381755066416522,0.0208546184273038
"Newey-West HAC(5)","Nikkei_ret",-0.00424561543898592,0.0102168270763858,-0.415551267261716,0.677770920931643,-0.0242790748087554,0.0157878439307836
"Newey-West HAC(5)","SMB",0.0207816985772502,0.0181667990313445,1.14393837579169,0.252749084325706,-0.0148403030042775,0.056403700158778
"Newey-West HAC(5)","HML",-0.0216062451581728,0.0170282554127621,-1.26884666893002,0.204603495445603,-0.0549957564417782,0.0117832661254326
"Newey-West HAC(5)","RMW",-0.00839639689200585,0.0313369834287216,-0.267938900727445,0.788766510388263,-0.0698428889973139,0.0530500952133022
"Newey-West HAC(5)","CMA",0.0378326523871645,0.0275204879928819,1.37470863150936,0.16933416245745,-0.0161303415951772,0.0917956463695061
"Newey-West HAC(5)","MOM",0.00212731695718312,0.00825259235400381,0.257775601402514,0.796599446507049,-0.0140546123622756,0.0183092462766418
"Newey-West HAC(5)","dlog_VIX",-0.00686813108263041,0.0016352063887302,-4.20016160037374,0.0000275235253980355,-0.0100744925591332,-0.00366176960612761
"Newey-West HAC(5)","rate_diff",0.00275674054835398,0.00167600348110876,1.64482984637374,0.100119571576244,-0.00052961708414325,0.00604309818085121
"Newey-West HAC(5)","JPY_app:PostPost",-0.0648085309347974,0.0355420629105829,-1.82343188964139,0.0683468628773935,-0.134500468354652,0.00488340648505747
