"check","status","expected","detail"
"processed_rows",TRUE,"2655","2655 rows"
"date_unique",TRUE,"TRUE","2655 unique dates"
"date_strictly_increasing",TRUE,"TRUE","2014-02-06 to 2026-07-31"
"complete_analysis_fields",TRUE,"TRUE","Missing values: 0"
"exact_return_interval",TRUE,"TRUE","HEWJ/EWJ, FX, Nikkei and VIX return start/end dates agree"
"train_before_tuning",TRUE,"TRUE","2021-07-20 < 2021-07-21"
"tuning_before_test",TRUE,"TRUE","2024-01-23 < 2024-01-24"
"split_rows_cover_sample",TRUE,"TRUE","2655 rows assigned once"
"stochastic_steps",FALSE,"FALSE","OLS, deterministic transformations and fixed chronological splits; seed not applicable"
