"specification","frequency","hac_lag","rows","pre_exposure","pre_se","pre_conf_low","pre_conf_high","pre_vs_minus1_p","post_exposure","post_se","post_conf_low","post_conf_high","post_vs_minus1_p","exposure_change","change_se","change_conf_low","change_conf_high","change_p"
"Current-date full model","daily",5,2655,-0.850936443698603,0.032573726501484,-0.914809024772126,-0.78706386262508,0.00000495386454357664,-0.912142863693958,0.0215776530094084,-0.95445366258757,-0.869832064800347,0.0000480479562800911,-0.0612064199953553,0.0376773789543032,-0.135086559002077,0.0126737190113667,0.104391107292676
"Current-date full model","daily",22,2655,-0.850936443698603,0.039224636053964,-0.927850540288753,-0.774022347108454,0.000147811028951472,-0.912142863693958,0.0233103979683369,-0.957851336257601,-0.866434391130316,0.000167481330288755,-0.0612064199953553,0.0407329597624843,-0.141078131163413,0.018665291172702,0.133054881847271
"Dimson adjacent-return full model","daily",5,2653,-0.960460365848025,0.0270234674686856,-1.01344971037458,-0.907471021321471,0.143543008594272,-0.99410496270372,0.0256274528249475,-1.04435691237127,-0.943853013036167,0.818087684593421,-0.0336445968556956,0.0342605475232211,-0.10082487112953,0.0335356774181388,0.326179306373084
"Dimson adjacent-return full model","daily",22,2653,-0.960460365848025,0.0239294758283242,-1.00738281354932,-0.913537918146735,0.098584274703139,-0.99410496270372,0.0206774741237403,-1.0346506773331,-0.953559248074336,0.775594015467237,-0.0336445968556956,0.0308124676653796,-0.0940636554656276,0.0267744617542364,0.274970196076828
"Last-common-date weekly FX model","weekly",4,656,-0.974367596327519,0.022484226275311,-1.01851782733623,-0.930217365318809,0.254697767005804,-0.986327561760451,0.0149493763017033,-1.01568229289839,-0.956972830622512,0.360748939571273,-0.011959965432932,0.0269431719160633,-0.0648658226163646,0.0409458917505006,0.657265076322929
