"alignment_rule","rows","r_squared","pre_slope","interaction","interaction_hac5_p","post_slope"
"Exact shared return interval (primary)",2655,0.703818792797337,-0.850936443698603,-0.0612064199953553,0.104391107292676,-0.912142863693958
"Same end date only (sensitivity)",2925,0.709162843485171,-0.846294931947032,-0.0669666564527255,0.0500552617610204,-0.913261588399757
