"definition","selected_model","rolling_mean_RMSE","test_response_sd","test_abs_q95","test_abs_max","selected_test_RMSE","selected_test_MAE","pre_slope","interaction","interaction_hac5_p","post_slope"
"Log returns","FX interaction",0.26664760029656,0.653778304994533,1.34702809293747,2.78024146392211,0.315887589107747,0.215764286609658,-0.850936443698603,-0.0612064199953553,0.104391107292676,-0.912142863693958
"Arithmetic returns","FX interaction",0.270641051193527,0.65316487859558,1.3473438647171,2.81233570957876,0.316732537095012,0.215486002814805,-0.849030734332481,-0.0628666783409585,0.0909489809310473,-0.91189741267344
