"analysis","rows","r_squared","pre_slope","pre_slope_vs_minus1_p","interaction","interaction_hac5_p","post_slope","post_slope_vs_minus1_p","note"
"Primary: all valid observations",2655,0.703818792797337,-0.850936443698603,0.00000495386454357664,-0.0612064199953553,0.104391107292676,-0.912142863693958,0.0000480479562800911,"Registered primary analysis"
"Winsorized 0.5/99.5 percentiles",2655,0.706531125717644,-0.823901296399767,0.00000000000633200522429448,-0.0849920263046255,0.00489485185555232,-0.908893322704393,0.0000000287819559371014,"All continuous analysis variables winsorized; no rows removed"
"Cook's D <= 4/n stress test",2521,0.786662764838751,-0.845919306582591,0.000000000000000000000441049059225897,-0.0487788290674272,0.011206019258564,-0.894698135650018,0.0000000000000000000533598592545447,"Post-hoc mechanical stress test; not a preferred estimate"
