"fold","lambda","RMSE","MAE"
"Validate 2021",0.95,0.204017272331624,0.154339419907551
"Validate 2022",0.95,0.318086797299094,0.232417360565514
"Validate 2023",1,0.303813000372208,0.204024054499902
